                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3459,                 11.267,                 0.6859,                 1.4771,                  1.556,                0.99904,                      1,                  0.995,                0.84433,                      0,                      0,                      0,                      0,                0.74905,                 11.508,                0.67506,                0.61435,                0.77187,             0.00065476,             0.00065476,             0.00065476
                      2,                0.72707,                 10.925,                0.64262,                0.54805,                 1.0652,                0.99514,                      1,                0.99482,                0.90244,                      0,                      0,                      0,                      0,                0.60097,                 11.363,                0.67238,                0.55977,                0.69362,               0.001256,               0.001256,               0.001256
                      3,                0.83741,                 10.886,                0.61192,                0.58165,                 1.0759,                0.78163,                0.95495,                0.87449,                0.63049,                      0,                      0,                      0,                      0,                 1.9941,                 11.383,                0.69266,                 1.2167,                  1.487,              0.0017913,              0.0017913,              0.0017913
                      4,                0.80194,                 10.327,                0.58136,                0.56994,                 1.0623,                0.99941,                      1,                  0.995,                0.94113,                      0,                      0,                      0,                      0,                0.45876,                 10.978,                 0.7013,                 0.3997,                0.64435,               0.001703,               0.001703,               0.001703
                      5,                0.68612,                 10.599,                0.56788,                0.50687,                 1.0139,                0.99893,                      1,                  0.995,                0.82809,                      0,                      0,                      0,                      0,                0.81454,                 11.021,                0.73068,                0.50886,                  0.788,               0.001703,               0.001703,               0.001703
                      6,                0.63519,                 10.475,                0.55936,                0.51067,                 1.0021,                      1,                0.99991,                  0.995,                0.90668,                      0,                      0,                      0,                      0,                0.53937,                 10.529,                 0.7054,                 0.4474,                0.71654,               0.001604,               0.001604,               0.001604
                      7,                0.57518,                 10.027,                0.53418,                0.47805,                0.98315,                0.99745,                 0.9955,                  0.995,                0.92025,                      0,                      0,                      0,                      0,                 0.5493,                 10.143,                 0.7156,                0.39424,                 0.6953,               0.001505,               0.001505,               0.001505
                      8,                0.57368,                  9.876,                0.52774,                  0.471,                0.99908,                0.99884,                      1,                  0.995,                 0.9114,                 0.0093,                0.00901,                0.00026,                  8e-05,                0.58782,                 9.5241,                0.70157,                0.44068,                0.75325,               0.001406,               0.001406,               0.001406
                      9,                0.54954,                 9.7195,                0.53325,                 0.4392,                0.97715,                0.96924,                      1,                0.99455,                0.89803,                      0,                      0,                      0,                      0,                0.56608,                 9.6982,                0.68486,                0.50127,                 0.7095,               0.001307,               0.001307,               0.001307
                     10,                0.59022,                 9.5223,                0.51736,                0.46743,                  0.997,                0.99967,                      1,                  0.995,                0.89703,                      0,                      0,                      0,                      0,                 0.4808,                 9.3198,                0.64852,                0.35864,                0.64115,               0.001208,               0.001208,               0.001208
                     11,                0.43329,                 9.2382,                0.60515,                0.44649,                0.94965,                0.99938,                      1,                  0.995,                0.93403,                      0,                      0,                      0,                      0,                0.42203,                 9.1255,                0.64619,                 0.3674,                0.61126,               0.001109,               0.001109,               0.001109
                     12,                0.40523,                 8.8344,                0.59866,                 0.3518,                0.93186,                0.99971,                      1,                  0.995,                0.92507,                0.00901,                0.00901,                 0.0006,                  9e-05,                0.44084,                  7.997,                0.60581,                0.33424,                0.61618,                0.00101,                0.00101,                0.00101
                     13,                 0.3768,                 8.1827,                 0.5665,                0.32006,                0.90967,                0.99958,                      1,                  0.995,                0.94398,                0.01865,                0.01802,                0.00293,                 0.0005,                0.39565,                  8.424,                0.57153,                0.32606,                0.61185,               0.000911,               0.000911,               0.000911
                     14,                0.37505,                 7.9664,                0.55476,                0.31885,                0.89344,                0.99941,                      1,                  0.995,                0.93278,                0.07855,                0.06757,                0.02407,                0.00491,                0.43699,                 8.2183,                 0.5452,                0.34206,                0.64908,               0.000812,               0.000812,               0.000812
                     15,                0.37201,                 7.7033,                0.52239,                0.31756,                0.90613,                0.99923,                      1,                  0.995,                 0.9561,                0.07869,                0.07658,                0.02733,                0.00482,                0.38293,                 7.9178,                0.53363,                0.30334,                0.58722,               0.000713,               0.000713,               0.000713
                     16,                0.33761,                 7.5667,                0.50998,                0.28379,                 0.8987,                0.99951,                      1,                  0.995,                0.95525,                0.18009,                0.18018,                0.07437,                0.01579,                0.35965,                 6.7785,                0.51708,                0.29552,                0.59804,               0.000614,               0.000614,               0.000614
                     17,                0.32602,                 7.2704,                0.50774,                0.27519,                0.89712,                0.99935,                      1,                  0.995,                0.95015,                0.22058,                0.22072,                0.09892,                0.02282,                0.38461,                 6.8381,                0.52087,                0.29381,                0.60369,               0.000515,               0.000515,               0.000515
                     18,                0.31878,                 6.7861,                0.50791,                  0.269,                 0.8824,                0.99803,                      1,                  0.995,                0.95064,                0.20698,                0.20721,                0.09297,                0.01663,                0.37455,                 6.5161,                0.50073,                0.30063,                0.60007,               0.000416,               0.000416,               0.000416
                     19,                0.30194,                 6.4787,                0.48514,                0.25958,                0.90247,                0.99814,                      1,                  0.995,                0.95681,                0.27014,                0.27027,                0.12861,                0.02409,                0.36598,                  6.225,                0.49309,                0.28805,                0.59552,               0.000317,               0.000317,               0.000317
                     20,                0.29732,                 6.1581,                0.48935,                 0.2568,                0.86771,                0.99944,                      1,                  0.995,                0.96097,                0.34234,                0.34234,                0.18296,                0.03605,                0.34617,                 5.9814,                0.48562,                0.27217,                0.58124,               0.000218,               0.000218,               0.000218
