                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5675,                 2.5342,                 1.4712,                0.69952,                0.49396,                 0.6141,                0.46779,                 1.2866,                 1.8257,                 1.2124,              0.0004703,              0.0004703,              0.0004703
                      2,                 1.2042,                   1.39,                 1.2339,                0.55635,                 0.6604,                0.63972,                0.46652,                 1.2731,                 1.4706,                 1.1992,             0.00089978,             0.00089978,             0.00089978
                      3,                 1.1293,                 1.2419,                 1.1831,                0.75488,                0.68519,                0.75233,                 0.5718,                 1.1527,                 1.1571,                 1.1379,              0.0012821,              0.0012821,              0.0012821
                      4,                 1.0585,                  1.117,                 1.1707,                0.82041,                0.81722,                0.83495,                0.58093,                 1.2326,                  1.145,                 1.1712,              0.0012168,              0.0012168,              0.0012168
                      5,                 1.0082,                 1.0342,                 1.1324,                0.89205,                0.79575,                0.86551,                0.65491,                 1.0303,                 1.0488,                 1.0752,              0.0012168,              0.0012168,              0.0012168
                      6,                0.93551,                0.96004,                 1.1032,                0.86315,                0.72299,                0.84283,                0.60748,                 1.0894,                 1.2724,                 1.1061,              0.0011461,              0.0011461,              0.0011461
                      7,                0.94651,                 0.9398,                 1.1014,                  0.896,                0.82212,                0.87122,                0.64577,                0.96842,                 1.0436,                  1.056,              0.0010753,              0.0010753,              0.0010753
                      8,                0.90286,                0.86539,                 1.0698,                0.93274,                0.88408,                 0.9291,                0.72016,                 0.9372,                0.81784,                 1.0092,              0.0010046,              0.0010046,              0.0010046
                      9,                0.86643,                0.83824,                 1.0691,                0.93306,                0.87582,                0.91637,                0.72571,                0.89285,                0.85457,                 1.0055,             0.00093385,             0.00093385,             0.00093385
                     10,                0.81276,                0.79691,                 1.0553,                0.95182,                0.87078,                0.93895,                0.74671,                0.86407,                0.77048,                0.97238,             0.00086312,             0.00086312,             0.00086312
                     11,                0.83701,                0.83026,                 1.0682,                0.90642,                0.85819,                0.90571,                0.74298,                0.83337,                0.76403,                0.93931,             0.00079238,             0.00079238,             0.00079238
                     12,                0.79063,                 0.7503,                 1.0582,                0.96189,                0.88714,                0.94555,                0.76858,                0.78888,                0.72581,                0.92712,             0.00072164,             0.00072164,             0.00072164
                     13,                0.76029,                0.71986,                 1.0217,                0.97001,                0.90618,                0.94571,                0.77555,                0.80657,                0.71768,                0.91958,             0.00065091,             0.00065091,             0.00065091
                     14,                0.74274,                 0.6874,                 1.0279,                0.93511,                0.90881,                0.92713,                0.75056,                0.81446,                0.70857,                 0.9275,             0.00058017,             0.00058017,             0.00058017
                     15,                0.70821,                0.65448,                 1.0133,                 0.9188,                0.90692,                0.94018,                0.76714,                0.78789,                0.66853,                0.90946,             0.00050944,             0.00050944,             0.00050944
                     16,                0.71297,                0.64396,                 1.0014,                0.93853,                0.92631,                0.94769,                0.77831,                0.75988,                0.65828,                0.90836,              0.0004387,              0.0004387,              0.0004387
                     17,                 0.7045,                0.63663,                 1.0027,                0.95929,                0.93324,                0.95264,                0.78772,                0.73722,                0.63075,                  0.895,             0.00036797,             0.00036797,             0.00036797
                     18,                0.65684,                0.60671,                0.99857,                0.94427,                0.92786,                0.95159,                0.79448,                0.70745,                0.63043,                 0.8835,             0.00029723,             0.00029723,             0.00029723
                     19,                 0.6404,                0.59543,                0.98279,                0.94035,                0.93263,                0.96016,                0.80407,                0.70658,                 0.5981,                0.87605,              0.0002265,              0.0002265,              0.0002265
                     20,                0.62684,                0.57103,                0.97354,                0.94282,                 0.9357,                0.95893,                 0.8201,                0.69578,                0.58777,                0.87841,             0.00015576,             0.00015576,             0.00015576
